index,Job Title,Job Description,,Industry,Sector
16,Municipal Structured Products Analyst,"The Company

Mesirow Financial is an independent, employee-owned firm founded in 1937. As specialists in investment, risk management and advisory services, we are committed to helping our institutional, corporate, and individual clients achieve their objectives. We are proud of Mesirow’s culture of fostering team member engagement, entrepreneurship, and empowerment. Our positive culture, volunteerism, and opportunity for advancement makes Mesirow one of the few employers to be included in both Chicago Tribune’s Top Places to Work and Crain’s Best Places to Work in Chicago.

The Opportunity:

The successful candidate will be responsible for supporting the deal team in its’ business of structuring leveraged municipal Tender Option Bond transactions for institutional investors. Mesirow serves as Administrator on approximately 800 TOB trusts containing assets of $10bn. As a result of the Volcker Rule, Mesirow has built a successful business structuring TOB trusts as well as administering them on an ongoing basis. The environment is fast paced, requiring the ability to prioritize tasks as well as managing detail.

Responsibilities:
They will work with two senior members of the group to structure trusts, obtain ratings, hire counsel, liquidity providers, re-marketing agents, obtain CUSIP and DTC eligibility as well as structure trusts on the firm’s proprietary systems and calculate cash flows of the respective trusts.
There will be direct contact with the municipal sales and trading desks to coordinate trade entry and settlements.
Working with investor clients on trade settlements, cash flows, establishing and unwinding trusts, fulfilling data requests, and monitoring the portfolio.
Requirements:
Bachelor’s degree in Finance or Accounting
Strong Excel skills.
Ability to manage multiple priorities within a fast-paced and evolving environment while maintaining thorough attention to detail.
Strong written and verbal communications skills.
Team player with a positive attitude and strong interpersonal skills.
Prior relevant work experience preferred.
EOE",,Investment Banking & Asset Management,Finance
17,Senior Business Analyst,"Overview

Provides analytical, planning, coordination, and implementation support to performance improvement activities and projects across VNSNY CHOICE Health Plans. Assists department leadership with tracking implementation, monitoring organizational change effectiveness, designing analytical approaches, as well as data collection and analysis, report writing, and process mapping.

Responsibilities

Develops a strong understanding of all VNSNY CHOICE Health Plans strategic business objectives and business unit operations. Assists department with articulating business issues and designing project approaches. Provides data collection, analytical support to team and monitors assigned projects.

Defines core processes and maps current states for redesign projects; assists with solution design. Provides facilitation support at meetings as required. Develops trusting relationships with leadership across VNSNY.

Collects and analyzes performance and financial data. Summarizes, creates, and distributes reports as needed.

Participates on projects, including assisting in defining the scope of projects, developing project plans, and ensuring forward momentum of projects toward stated goals. Tracks and monitors project work plans, including objectives, tasks and time frames to ensure deliverables are completed on time. Responds to changing project circumstances and communicates issues to project leadership. Takes a flexible, team player approach, willing to pitch in whenever and wherever needed.

Writes reports, memos and other communications as needed. Coordinates report production as needed.

Leads and participates in interdepartmental work groups as needed in support of performance improvement projects.

Demonstrates departments commitment to excellent customer service through prompt response to all internal and external customers. Represents the departments capabilities and mission effectively to internal and external customers. Communication is tactful, empathetic, professional, clear and assertive when needed.

CA2020

Qualifications
Education: Bachelors Degree in Business, a related discipline, or the equivalent work experience required. Masters Degree in Business Administration, Public Administration or related field preferred.


Experience: Minimum three years progressive experience in consulting, operations or financial analysis, or related discipline required. Proficient with personal computers, including Microsoft Windows Excel, Word, Access, Power Point required. Project management and facilitation skills required",,Health Care Services & Hospitals,Health Care
18,Business Analyst,"About Us:

NYSTEC is a non-profit technology consulting company, advising agencies, organizations, institutions, and businesses since 1996. Were independent and vendor-neutral so we have our clients best interests at heart. At NYSTEC, we know that we succeed when individuals and teams flourish personally and professionally, so our benefits and perks support this mindset. Are you ready to contribute to our engaged workforce and deliver the NYSTEC Experience?

About the Role:

As a Business Analyst in the Health Systems Transformation practice, you will collaborate with team members to conceptualize, deliver, and support our clients through today's ever-changing healthcare landscape. NYSTEC is considered a trusted program advisor, providing subject matter expertise, and connecting the dots for our clients. Over the last five years, NYSTEC has consulted on some of the largest DOH initiatives and served in various roles across a multitude of New York State and New York City healthcare technology systems.

Serving as a Business Analyst, your day-to-day role as a NYSTEC consultant will include engagement of stakeholders, elicitation and prioritization of stakeholder requirements, research and assessment of the existing technology, performing data analysis, and supporting quality assurance operations across NYC public health registries.

Key Responsibilities

Support Project Manager in defining and prioritizing project tasks.
Research and document project landscape.
Conduct stakeholder engagement sessions to identify system and policy requirements.
Analyze and prioritize requirements and identify associated risks.
Develop, execute and manage software test plan with cases.
Develop system documentation and supporting artifacts.
Perform situation quality assurance on data sets.

About You:

Required Qualifications

Business analysis experience required, including full SDLC implementation experience, requirements elicitation and landscape analysis
Strong written and verbal communication skills
Healthcare experience
Experience working on collaborative, cross-functional teams

Preferred/Desired Qualifications

Business Analysis Certification a plus (PMI or IIBA)

Education and Experience

A minimum of a Bachelor's degree with at least 3 years of related experience in Business Analysis is required. An equivalent combination of advanced education, training, and experience will be considered.

If youre an effective communicator who enjoys working in complex and collaborative environments, utilizing your critical thinking and research skills to develop solutions for clients, providing support to customers, and have the required education, experience and skills, we want to hear from you.

It is NYSTEC's policy to provide equal employment opportunity (EEO) to all individuals, regardless of actual or perceived race, color, creed, religion, sex or gender (including pregnancy, childbirth and related medical conditions), gender identity or gender expression (including transgender status), age, national origin, ancestry, citizenship status, physical or mental disability, protected medical condition as defined by applicable state or local law, genetic information, military service and veteran status, sexual orientation, marital status, , or any other characteristic protected by local, state, or federal law and ordinances. NYSTEC is strongly committed to this policy and believes in the concept and spirit of the law.

Applicants must be currently authorized to work in the United States without the need for visa sponsorship now or in the future.

Learn More About NYSTEC www.nystec.com",,Consulting,Business Services
19,Business Intelligence Analyst,"About UsVenmo was founded on the principles of breaking down the intimidating barriers around financial transactions to make them intuitive, friendly, and even fun. And it worked: people love sending money with Venmo, and we're growing by leaps and bounds!But we're only just getting started. We want to take that magic of sending money with Venmo and cascade it into every place where people use money. That means connecting people to their money in the most intuitive and fun way possible, then connecting people with each other. Users already love Venmo, but we know there are lots of things we haven't thought of to make the experience of using Venmo even more delightful and valuable. All that's going to take a lot of figuring out. Let's figure it out together!Business Intelligence at VenmoWe are looking for a BI Analyst who is responsible for processing data, developing reports and extracting actionable intelligence. He or she will work closely with the Business & Finance to build & optimize reports, & make drive informed / actionable insight to change the business trajectory. The ability to recognize and understand trends, collaborate with cross-functional teams and solve complex problems are key to success within this role.Responsibilities:* Collaborate with Senior Management to understand business intelligence needs, translating strategic business questions into resource/data requirements* Own the design, development, and maintenance of ongoing metrics, reports, analyses, dashboards, etc. to drive key business decisions* Take dashboard requirements and transfer into rapidly developed prototypes and working solutions* Write Extract-Transform-Load (ETL) jobs to calculate business metrics* Own & manage Venmo's BI tool & relationship with the 3p provider* Develop detailed data mapping and end-to-end process flows* Remain detail-oriented while working across a wide variety of projects* Collaborate with Data Analytics and Data Warehouse around data and table structures to optimize for KPI reporting* Be part of a great team, but be capable of operating independently - managing relationships, deliverables and expectations with your business partnersQualifications:* Bachelor's degree in Computer Science, Mathematics, Statistics, Finance, or equivalent work experience* 3+ years of relevant work experience in analytics, data engineering, business intelligence or related field* Experience using, writing and optimizing SQL queries in a business environment* Experience in business intelligence software (Tableau, Looker, Qlikview, MicroStrategy) and ETL software* Knowledge of data warehouse technical architecture, infrastructure components, ETL and reporting/analytic tools and environmentsPreferred qualifications:* 5+ years of experience using Looker* 5+ years of experience in data visualization* Expert in data extraction using SQL* Strong analytical, problem solving and critical thinking paired with Intellectual curiosity and aptitude in picking up new technical skills* Ability to execute fast-paced and dynamic projects in a highly organized manner on a tight schedule* Work collaboratively across different functions and effectively influence senior business partners* Degree in Computer Science, IT, Math, Physics, Statistics, Engineering or quantitative field* Proficient with SQL(Postgres, MySQL, Redshift, Snowflake), Python* 3+ years of relevant work experience in analytics, data engineering, business intelligence or related field* Strong communication and presentation skills necessary to build effective working relationships and positively influence decision making* Strong business acumen* Coding proficiency Python* Experience with AWS technologies including Redshift, RDS, S3, EMRWe know the confidence gap and imposter syndrome can get in the way of meeting spectacular candidates. Please don't hesitate to apply.",,Financial Transaction Processing,Finance
20,Business Analyst - CRM,"CRM & Analytics Team Overview:The CRM & Analytics team is a highly strategic and cross-functional team responsible for leading the firm's global digitalization effort. This initiative, spanning all client-facing business units and corporate functions, will drive innovation and strategic change through technology, data science, and deep analytics. The team partners with key business leaders and industry experts to build transformational technology to drive revenue, maximize efficiency, and optimize the allocation of resources. The CRM & Analytics team is at the forefront of Jefferies' cloud initiative, leveraging best-in-class cloud-based technologies to replace legacy on-premises solutions to provide intelligent trend insights, actionable opportunities, decision support, and transparency into all client and business-related activities.Position Overview:Business Analysts are responsible for conducting business analysis and documenting business requirements. They will work closely with end users, product managers, UX and other technology partners to develop designs for implementation. Responsibilities include:Analyze and decompose current state business processesDefine target state business processes and align functional solutionsDocument process flow diagrams, business/functional requirements and user storiesInformation gathering activities such as surveying, analyzing and evaluating processes, products and services, by using a variety of internal and/or external dataAssist with all phases of SDLC with emphasis on requirements, UAT and Change ManagementAssist in coordinating business unit subject matter expert meetings in order to solicit and cross-reference business and functional requirementsHelp ensure project team is adhering to project plans and helping to identify and resolve discrepanciesRequirements:3 years in a large organization or major consulting organization focused on a Business Analysis within the Equity, Fixed Income or Investment Banking businessesKeen interest in learning new process and technologiesInquisitive and continuously focused on identifying inefficiencies and improving business processesThorough documentation skillsExcellent interpersonal skills and ability to thrive in a collaborative environmentGoal-orientated, self-motivated and adapts to changing situationsStrong organizational and analytical skills; must be detail orientatedSalesforce or Tier1 knowledge",,Investment Banking & Asset Management,Finance
21,Senior FP&A Analyst,"Senior FP&A Analyst | (New York)

Build Your Career | Love Your Work | Make a Difference

Payoneer's mission is to empower businesses to go beyond – beyond borders, limits and expectations. In today's digital world, Payoneer enables any business of any size from anywhere to access new economic opportunities by making it possible to transact as easily globally as they do locally.

Payoneer's digital payments platform streamlines global commerce for millions of small businesses, marketplaces and enterprises from over 200 countries and territories. Leveraging robust technology, compliance, operations and banking infrastructure, Payoneer delivers a suite of services that includes cross-border payments, working capital, tax solutions and risk management. Powering growth for customers ranging from aspiring entrepreneurs in emerging markets to the world's leading brands like Airbnb, Amazon, Google and Upwork, Payoneer makes global commerce easy and secure.

We are seeking a Senior Financial Planning and Reporting Analyst to join the growing team at the company's New York City headquarters. This is a unique opportunity to work at a proven and rapidly expanding international company with an entrepreneurial start-up culture combined with years of profitability and consistent growth. Payoneer is backed by highly respected global investors and is well capitalized.

This position will appeal to candidates who value exposure to C-level and executive management and can step up to the challenges of helping manage an innovator within the multi-trillion dollar global payments and commerce enablement space. Candidates should possess entrepreneurial spirit, intellectual curiosity, strategic-mindedness and strong analytical, financial modeling, writing, and verbal skills. We are seeking a candidate who is a team-player and able to perform with minimal hand holding. The candidate must be able to work with teammates across many cultures and time zones, as the team works together closely while spread between office locations in New York, London, Tel Aviv, and Hong Kong.

The position will have a very wide range of responsibilities including:
Analysis of the company's businesses, products and geographies;
Financial modeling, forecasting and trend analysis;
Act as an internal consultant and support global business managers in interpreting data and trends and recommend solutions to grow their businesses;
Creation of Investor and Board of Directors presentations;
Assisting in structuring strategic deals and partnerships; and
Working on a range of analyses to support the CFO and other leaders of the company.
In addition to FP&A, the position will work with other areas of Finance including accounting, corporate development, and treasury. The position will interact with all areas of the company including Business Development, Sales & Marketing, Product Development, R&D, and Operations, and will have the opportunity to work directly with the CEO, CFO and other key executives. The position will also have the opportunity to travel internationally and even live abroad on a global rotation.

Experience: Seeking candidates preferably from a top-tier university with a superior academic record and global perspective with experience in investment banking, consulting, venture capital, private equity, corporate finance or related.

Interest in entrepreneurial environments and knowledge of the payments / FinTech space are a plus. Prior international work experience is also plus.

Payoneer is backed by a group of highly-regarded investors including Technology Crossover Ventures (TCV), Temasek Holdings, Wellington Management, Susquehanna Growth Equity, Viola Ventures, NYCA Partners, and Ping An Ventures. Payoneer is profitable, has a strong balance sheet, and has access to additional funds for future growth. Most recently, Payoneer has acquired payment orchestration platform Optile, a Munich-based firm that specializes in Merchant Acquiring.",,Lending,Finance
22,Business Analyst,"ResponsibilitiesNBCUniversal's Program Management, Strategic Business Operations team operates as a central program operations group embedded across Ad Sales, Distribution, Marketing, Research, Technology, Legal, and HR. The team consists of trusted partners working together to implement strategic programs throughout the enterprise in order to effectively close gaps between central business and technology groups across a variety of projects. We work to provide relevant insights & structure across our diverse portfolio to power intelligent business decisions required in order to compete within today's highly complex multi-platform & fragmented media landscape.The Business Analyst is a full-time position in NBCUniversal's Program Management team and will provide support to the broader team within Strategic Business Operations with a focus on data privacy & governance. This role will be responsible for analyzing & documenting processes and procedures, identifying systems across the enterprise, and identifying any operational or compliance gaps against data models & controls. This role is highly collaborative, working across business and technology teams to establish a target vision aligned with business, legal, and IT needs.Job Duties:* Understand and document the data landscape to identify gaps related to operational and privacy controls against data models and NBCUniversal frameworks* Support development, socialization, and execution of the privacy strategy* Act as a centralized support function for Individual Rights Requests* Design complex processes and ensure end-to-end process mapping* Make recommendations to business process changes based on experience, analysis, and best practices* Document project risks and issues; providing solutions where applicable* Take ownership in facilitating and documenting collaborative working sessions with business and technical stakeholder and conducting following ups, as needed* Support business model innovation and business process re-design/optimization to incorporate data governance* Provide and apply methods and tools to drive effectiveness, efficiencies, and agility* Assist with strategic projects, including developing compelling business cases, identifying future processes, creating user stories, and developing frameworks to calculate value* Write or contribute to test scenarios and drive UAT planning and implementation and provided analysis and interpretation of results* Provide advice on tooling and technology, including understanding capabilities and limitations* Develop or contribute to cost analysis, design considerations, and implementation timelines* Liaise with external 3rd party consultants and technology teams* Assess scope and new enhancement requests, always with a view on the ROI for the business* Manage program metrics and reporting* Ad-hoc activities, as requiredQualifications/RequirementsBasic QualificationsBachelor's degree in business, technology or related field of studyThree years of experience in related fieldExperience writing business and functional requirements with specifications, including strong documentation skillsStrong data analysis and reconciliation skillsCompetency in Microsoft applications, JIRA, and ConfluenceAdditional Job RequirementsInterested candidate must submit a CV/resume through www.nbcunicareers.com to be consideredMust be willing to work in New York, NY upon return to officeMust have unrestricted work authorization to work in the United StatesDesired CharacteristicsAbility to work effectively, both independently and as part of a team, within pressure situationsGoal-oriented, with the ability to conceptualize a project from start to finish while managing short term milestonesAbility to identify opportunities to solve business problemsStrong interpersonal and presentation skills required to interface with and influence cross-functional leaders, including senior stakeholdersA curious mindset and willingness to challenge the status quo",,TV Broadcast & Cable Networks,Media
23,Business Solutions Analyst,"Job Description
Title: Business Solutions Analyst, Telecom Console Operations Project
Job ID: KZ44488276

Our client is looking for a Business Solutions Analyst who will support their Console Operations Project. You will ensure all business requirements have been documented and approved by the Business and IT Stakeholders and Sponsors. Interview business, document requirements, prepare use cases and facilitate the User Acceptance Testing. Assist with business KPIs, methods of reporting to reflect results and will assist with technological enhancements that will meet those KPIs. Interface with all levels of management, project team both internally and externally including all associated vendors.

Responsibilities:
Interview local managers and call‐handling associates.
Transcribe the current processes including lead managers’ reporting processes and metrics. Include a traceability and create use cases, test scripts and facilitate the User Acceptance Testing for business acceptance of the entire platform.
Understand and contribute as a project team member with regards to the contact center Cisco solution including IVR call flows, speech recognition, voice and screen recording, workforce management, screen pops, softphone and reporting.
Support IT and staff readiness to provide the appropriate end‐user training.
Serves as liaison with vendors and H+H IT regarding go‐live requirements.
Develop policies and procedures for go‐live implementation
Qualifications:
Bachelor’s degree or correlated experience.
5+ years’ experience with project management practices and processes. The ideal candidate has extensive experience in customer‐facing roles.
Nice to have: Telecom knowledge and experience
Strong writing and reading comprehension skills as well as excellent business etiquette
Excellent computer skills, including comfort with to Microsoft applications including PowerPoint, Excel, Word, and Outlook and willingness to learn new customer relations and information management systems
For more information about TEEMA and to consider other career opportunities, please visit our website at www.teemagroup.com",,Staffing & Outsourcing,Business Services
24,Data Analyst,"The Data Analyst is an integral member of the global commercial data and analytics team driving commercial insights and opportunities for the world's largest English language newspaper website, DailyMail.com. This is a unique opportunity to work in a fast-paced entrepreneurial environment, with wide exposure to ad-tech and big data platforms.

The Data Analyst will be responsible for maintaining and optimizing the global commercial data systems, identifying methods to maximize commercial performance and providing business insights to internal stakeholders. This individual will have a genuine passion for digital media and data technology.

DailyMail.com is a division of UK-based DMGT, an international portfolio of digital, information, media and events businesses, which employs over 12,000 people and is listed on the London Stock Exchange (LSE:DMGT.L).

Specific Responsibilities
Participate in cross-functional projects using advanced data modeling and analysis techniques to discover insights that will guide strategic decisions and uncover optimization opportunities.
Develop and maintain big data infrastructure, reporting systems and data models that support key business decisions.
Develop and maintain data visualization dashboards to allow data access to necessary stakeholders.
Evaluate the configuration and performance of commercial practices against key indicators.
Continuously monitor yield across platforms and offer innovative recommendations to internal teams to boost performance and generate new revenue.
Work cross-functionally with teams including Operations, Sales, Marketing, Finance and Analytics to provide excellent customer service in support of DailyMail.com clients and revenue goals.
Desired Experience and Skills

Required:
B.A. or B.S. in a quantitative or technical field (e.g., math, engineering, statistics, computer science).
High proficiency in Excel, SQL, Python
Possess quantitative skills with a creative problem-solving mindset.
Ability to work collaboratively in a team environment.
Strong project management skills and ability to meet deadlines
Preferred:
Digital media and ad-tech experience is a plus
Familiarity with R, Scala, Spark, Airflow
Google Cloud (Storage, BigQuery, Compute Engine, Kubernetes Engine)
About MailOnline


MailOnline is one of the world's leading newspaper websites with more than 12 million daily unique visitors spending an average of 145 million minutes consuming its content each day across the globe, of which 77% is from direct traffic. MailOnline offers a unique amalgam of fresh, sensational, breaking and reliable news with over 1,600 stories, 800 videos and more than 12,800 photos posted daily. With newsrooms in New York, Los Angeles, London, and Sydney, Dailymail.com uses its massive homepage to deliver the exclusive content people need and want to know.

DailyMailTV brings the best of DailyMail.com, the world's most read English-language newspaper website, to life on television, with an edgy, fast-paced daily show featuring the hottest headlines, trending topics and celebrity breaking news from around the world.

Daily Mail North America is a division of UK-based DMGT, an international portfolio of digital, information, media and events businesses, which employs over 12,000 people and is listed on the London Stock Exchange (LSE:DMGT.L).",,Venture Capital & Private Equity,Finance
25,Operations Regulatory Control Change Lead Business Analyst - Vice President,"The Operations Regulatory Control (ORC) Change Teams primary responsibility is to execute regulatory change initiatives in Operations Control. Its remit includes:
• Implementation of new regulations
• Remediate issues noted by regulators and auditors
• Build controls strategic framework

Primary purpose of this role is to act as a change professional in addressing regulatory changes and developing controls for recent regulatory reforms.

Responsibilities:
Establishes and oversees the application of operational risk policies, technology and tools, and governance processes to create lasting solutions for minimizing losses from failed internal processes, inadequate controls, and emerging risks.
Independently assess risks and drive actions to address the root causes that persistently lead to operational risk losses by challenging both historical and proposed practices.
Governance and oversight may include (not limited to) technology operational risk, risk for example.
Serves as a subject matter expert for Issues Management (KPI/KRI/Corrective Action Plans)
Resolves transactional level escalations coming from the vendor or internal partners
Analyzes a multitude of scorecards/performance management tools in an attempt to mitigate exposure (risk/financial/regulatory)
Monitors goals are met through performance, risk and relationship oversight of our extended supply chain
Collaborates to resolve any issues which fall within the terms of the contract.
Develops and maintains relationships across the business users and Lines of Defense to better understand and deliver customer requirements by responding to changes in the internal and external business environment
Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.
Qualifications:
60 years experience navigating and networking across an enterprise utilizing internal and external resources Third Party Oversight/Vendor Oversight experience preferred Business writing experience preferred
In depth knowledge of Mortgage Servicing Operational processes and technology platforms supporting the Operations.
Education:
Bachelors/University degree, Masters degree preferred
-------------------------------------------------

Grade :All Job Level - All Job FunctionsAll Job Level - All Job Functions - US

------------------------------------------------------

Time Type :Full time

------------------------------------------------------

Citi is an equal opportunity and affirmative action employer.
Minority/Female/Veteran/Individuals with Disabilities/Sexual Orientation/Gender Identity.

Citigroup Inc. and its subsidiaries (""Citi) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity CLICK HERE.

To view the ""EEO is the Law"" poster CLICK HERE. To view the EEO is the Law Supplement CLICK HERE.
To view the EEO Policy Statement CLICK HERE.
To view the Pay Transparency Posting CLICK HERE.",,Investment Banking & Asset Management,Finance
26,"Senior Data Analyst, Insights & Analytics Team [Customer Operations]","We’re looking for a Senior Data Analyst who has a love of mentorship, data visualization, and generating actionable insights from raw data. In this role, you’ll have the opportunity to be an organizational influencer, who will generate insights with a good degree of autonomy, and partner with data science to grow deeper analytical skills. You will be joining the Insights & Analytics team, a team tasked with developing insights and reporting to support our customers and advisors’ needs. This team sits within the Customer Operations team, but is also connected to the Product organization.

In this role, you will work mainly with Customer Operations stakeholders to set KPIs and evaluate the effectiveness of current strategies and workflows. You will be involved in many aspects of data operations, from data auditing to building dashboards and analytical insights. For example, you will review the code of more junior analysts and organize coding workshops. You will build metrics to evaluate the performance of our advisors, eliminating confounding variables and creating weighted measures that account for individual success. You will define metrics and create dashboards to track the success of the current strategic direction. You will analyze the text-based interactions with our advisors to improve care quality. You will also analyze interactions with our chatbot to improve the responses of the bot to match customer expectations. You will collaborate with the Data Engineering team in pursuit of better data modeling and you can collaborate with the Data Science team on more modeling-heavy pursuits, like topic modeling or search recommendations. You will be a mentor to all other members of the analytics team, which demands that you excel in a culture of teaching and learning.

You will report to the Manager of the Insights & Analytics team, Customer Operations in Squarespace’s New York offices.

RESPONSIBILITIES
Design and develop KPIs, reports, and dashboards using BI/data visualization tools that clearly track the effectiveness of current strategies
Execute and communicate impactful analyses, using SQL and R/Python to improve the customer experience and drive Customer Operations and Product roadmap
Raise the skill level of the analytics team through reviewing code, organizing training sessions, acting as a mentor, and introducing new analytical methods and tools
Help design and evaluate experiments and pilots, setting clear hypotheses and success metrics, as well as using the right statistical methods for analyses
Effectively partner with Customer Operations and Product stakeholders, as well as our Data Engineering team
QUALIFICATIONS
4 or more years of experience as a data analyst, data scientist, or in a relevant field in which you have worked with large datasets to transform data to meaningful insights
Mastery of SQL, and experience with R/Python
Experience with dashboarding/BI tools like Chartio, Looker, Tableau
Experience with data cleaning, analysis, and presentation to non-technical stakeholders
Bachelor’s degree in a quantitative or logic-driven discipline
Intellectual curiosity and a deep love of mentorship and generating actionable insights
Preferred: Advanced degree (Master’s or PhD) in quantitative field
Preferred: Experience with topic modeling, text analytics/natural language processing
We are hiring at various experience levels and we’re particularly interested in having a diverse team with a broad set of skills and viewpoints. If this seems like an opportunity you’d like to explore, but you’re not sure if you qualify, we encourage you to apply anyway!

About Squarespace

Squarespace makes beautiful products to help people with creative ideas succeed. By blending elegant design and sophisticated engineering, we empower millions of people — from individuals and local artists to entrepreneurs shaping the world’s most iconic businesses — to share their stories with the world. Squarespace’s team of more than 900 is headquartered in downtown New York City, with offices in Dublin and Portland. For more information, visit www.squarespace.com/about.

Today, more than a million people around the globe use Squarespace to share different perspectives and experiences with the world. Not only do we embrace and celebrate the diversity of our customer base, but we also strive for the same in our employees. At Squarespace, we are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender, gender identity or expression, or veteran status. We are proud to be an equal opportunity workplace.",,Internet,Information Technology
27,Business Analyst,"Job Description
Free Online Training & Placement Opportunity for Business Analyst Graduate/ Fresher’s

Thinking to start a career in IT.?

Here is an excellent opportunity for you we are starting a fresh training batch Company is E-verified to get an OPT STEM Extension highly experienced fulltime trainers available to train the employees Ellianse LLC is hiring candidates for Training and Placement in Business Analysis

What Our Workshop Covers:
Business Analysis Planning and Monitoring
Elicitation and collaboration
Requirements life cycle management
Strategy Analysis
Requirements analysis and design definition
Solution evaluation
Water fall
Agile
Eligibility Criteria:
Minimum 0-2 yrs. experience with Bachelor's/Master's degree in Computer Science or equivalent with valid status.
Recently Graduated Fresher are also welcome to apply for the above positions.
Eligibility for training: Citizens / GC / CPT / OPT / H4/L2EAD
If you are interested please reply back with your updated resume.

For more details you can reach me out at:Sarala.d@ellianse.com",,,
28,KYC Business System Analyst,"Description


Do you want your voice heard and your actions to count?

Discover your opportunity with Mitsubishi UFJ Financial Group (MUFG), the 5th largest financial group in the world (as ranked by S&P Global, April 2018). In the Americas, were 14,000 colleagues, striving to make a difference for every client, organization, and community we serve. We stand for our values, developing positive relationships built on integrity and respect. Its part of our culture to put people first, listen to new and diverse ideas and collaborate toward greater innovation, speed and agility. Were a team that accepts responsibility for the future by asking the tough questions and owning the solutions. Join MUFG and be empowered to make your voice heard and your actions count.

Job Summary:

The Business Systems Analyst is responsible for analytical and system administration support as well as executing User Acceptance Testing of modifications, enhancements, and configuration changes made to Direct Bank applications to ensure they accurately test business and functional requirements. This includes assisting with Test Plans and scenarios, writing scripts, and evaluating the outcome. Assist with administering user application access and provide basic research and question/answer support. The position provides subject matter expertise and problem resolution to applications, including, but not limited to, core banking application (deposit accounting and customer information), Online Account Opening, public website, Campaign Management, communication hub, contact center support system, and mobile banker platforms. Job responsibilities are performed with a significant degree of latitude and autonomy

Major Responsibilities:

UAT Planning/Execution (40%):

Develop UAT artifacts, including Test Plans and Test Scenarios for projects that require configuration changes. Write Test Cases and Test Scripts, and prepare Exit Documentation to ensure risk of system defects are mitigated and/or eliminated. Ensure testing meets established exit criteria before final approval. Oversee test execution schedule and milestones and ensure daily and weekly test execution quotas are being met. Execute Test Scripts, validate actual vs expected test results, and document defects when actual results do not meet expected results.

Analytical / System Support (30%):

Ensure process changes are accurate, effective, and wholly documented. Prepare thorough reports / remediation policies on issues that arise during configuration / testing. Apply business expertise and analytical skills to resolve basic business issues and problems as assigned. Update UAT procedures, standards, and other documentation under the direction of a senior-level analyst and/or manager. Process configuration changes, such as user permissions, parameter settings and workflow; report on configuration changes to management. Assist with major and minor release management by conducting release validation from the business perspective.

Defect Management (20%):

Ensure defect documentation accurately reflects the discrepancy between expected and actual results. Ensure defects are resolved within established timeframes and escalate defects that require attention of a senior-level analyst or manager. Test defect resolution to ensure defect has actually been resolved.

Administrative / Miscellaneous (10%):

Participate in meetings, maintain meeting minutes, and ensure documentation is complete and accurate. May represent team on project meetings, committees, and cross-functional teams. Conduct analyses used to support management decisions.
Qualifications


Knowledge, Skills, Abilities:
The candidate should have prior experience conducting testing, developing Business Requirements, and/or performing technical support.
Ability to think and act from the standpoint of a system user, such as an external customer and/or internal business partner.
Strong analytical, written/verbal communication and problem-solving skills.
Strong attention to detail.
Ability to work both in a team environment under guidance and with minimal supervision.
Strong time management skills and ability to meet tight deadlines.
Flexibility to shift focus from one application or project to another.
Strong MS Excel, Word, and PowerPoint skills.
Experience working with Quality Center, Profile, nGage, and mBanker applications.
Education, Licensure, Year of Experience (and type of work experience):
Bachelors Degree in Business, Information Systems, or a related field desirable but not required.
2-3 years of Banking, Quality Assurance, and Business Analyst experience
The above statements are intended to describe the general nature and level of work being performed. They are not intended to be construed as an exhaustive list of all responsibilities duties and skills required of personnel so classified.

We are proud to be an Equal Opportunity / Affirmative Action Employer and committed to leveraging the diverse backgrounds, perspectives, and experience of our workforce to create opportunities for our colleagues and our business. We do not discriminate in employment decisions on the basis of any protected category.

A conviction is not an absolute bar to employment. Factors such as the age of the offense, evidence of rehabilitation, seriousness of violation, and job relatedness are considered in all employment decisions. Additionally, it's the bank's policy to only inquire into a candidate's criminal history after an offer has been made. Federal law prohibits banks from employing individuals who have been convicted of, or received a pretrial diversion for, certain offenses.",,Banks & Credit Unions,Finance
